complaint_id,hop_count,total_elapsed_minutes,avg_minutes_between_hops,min_minutes_between_hops,city_changed,fraud_amount,crime_type,minutes_since_last_hop,was_cash_withdrawn,final_hop_lat,final_hop_lon,final_hop_city
CMP00001,6,198.0,39.6,3.0,False,83900,Loan App Fraud,1704.02,True,19.093089,72.843551,Mumbai
CMP00002,4,218.0,72.67,59.0,True,48900,Digital Arrest Scam,15561.2,True,26.90149,75.78456,Jaipur
CMP00003,3,94.0,47.0,16.0,True,95400,UPI Fraud,38216.53,False,26.947384,75.810416,Jaipur
CMP00004,5,108.0,27.0,10.0,True,200700,UPI Fraud,29584.12,False,22.596339,88.326778,Kolkata
CMP00005,3,79.0,39.5,22.0,True,45100,Digital Arrest Scam,6640.42,True,26.868758,80.934898,Lucknow
CMP00006,3,134.0,67.0,61.0,True,45100,OTP Fraud,35345.53,True,19.07976,72.886824,Mumbai
CMP00007,7,152.0,25.33,12.0,False,210500,Digital Arrest Scam,39247.52,True,28.61276,77.215083,Delhi
CMP00008,2,43.0,43.0,43.0,True,105600,Digital Arrest Scam,29430.2,True,26.883147,75.74225,Jaipur
CMP00009,7,318.0,53.0,13.0,False,36900,Loan App Fraud,41042.3,True,25.559617,85.119327,Patna
CMP00010,6,280.0,56.0,18.0,True,87200,Investment Fraud,11045.63,True,25.593461,85.093373,Patna
CMP00011,4,158.0,52.67,35.0,True,37100,Digital Arrest Scam,19401.25,False,28.587558,77.182305,Delhi
CMP00012,4,83.0,27.67,5.0,False,37000,UPI Fraud,23636.3,False,17.359604,78.488242,Hyderabad
CMP00013,7,325.0,54.17,14.0,False,67600,UPI Fraud,26407.48,True,19.094834,72.887229,Mumbai
CMP00014,2,23.0,23.0,23.0,False,15000,OTP Fraud,24220.88,True,26.949717,75.780522,Jaipur
CMP00015,5,208.0,52.0,8.0,True,15000,Investment Fraud,3014.05,True,23.014483,72.61628,Ahmedabad
CMP00016,3,159.0,79.5,75.0,False,34100,Investment Fraud,8716.62,True,22.573162,88.377578,Kolkata
CMP00017,7,309.0,51.5,7.0,True,23300,Loan App Fraud,38475.08,True,25.588576,85.138272,Patna
CMP00018,4,120.0,40.0,30.0,False,71800,OTP Fraud,25313.77,False,23.020433,72.568356,Ahmedabad
CMP00019,2,27.0,27.0,27.0,True,25400,UPI Fraud,4996.9,True,19.098172,72.867181,Mumbai
CMP00020,7,260.0,43.33,4.0,False,16600,UPI Fraud,20179.33,True,17.400868,78.514442,Hyderabad
CMP00021,2,32.0,32.0,32.0,False,191200,Investment Fraud,7235.15,True,17.389743,78.47015,Hyderabad
CMP00022,4,136.0,45.33,3.0,False,45400,Loan App Fraud,31700.32,True,18.551092,73.826459,Pune
CMP00023,3,95.0,47.5,5.0,True,58200,Loan App Fraud,25919.17,True,22.615774,88.353909,Kolkata
CMP00024,2,12.0,12.0,12.0,False,16400,UPI Fraud,18864.75,False,17.369706,78.485774,Hyderabad
CMP00025,2,51.0,51.0,51.0,False,34600,OTP Fraud,12047.1,True,23.023998,72.578334,Ahmedabad
CMP00026,5,219.0,54.75,27.0,False,60400,Investment Fraud,11417.3,True,17.390241,78.474409,Hyderabad
CMP00027,7,247.0,41.17,9.0,True,20700,OTP Fraud,18819.37,False,23.02558,72.585187,Ahmedabad
CMP00028,7,258.0,43.0,12.0,False,75700,UPI Fraud,22617.65,True,17.397118,78.465541,Hyderabad
CMP00029,3,85.0,42.5,33.0,True,33000,Loan App Fraud,2335.62,True,22.585117,88.365144,Kolkata
CMP00030,2,67.0,67.0,67.0,True,42900,UPI Fraud,18801.08,True,23.006934,72.576265,Ahmedabad
CMP00031,6,151.0,30.2,5.0,True,33000,Loan App Fraud,39658.4,True,18.5314,73.844149,Pune
CMP00032,2,73.0,73.0,73.0,True,265500,Investment Fraud,34994.43,True,26.928368,75.758725,Jaipur
CMP00033,5,233.0,58.25,51.0,False,54400,Loan App Fraud,9908.08,True,25.580337,85.107082,Patna
CMP00034,4,168.0,56.0,30.0,False,22400,OTP Fraud,17241.15,True,12.943007,77.597314,Bengaluru
