complaint_id,predicted_city_1,confidence_1,predicted_city_2,confidence_2,predicted_city_3,confidence_3,hotspot_lat,hotspot_lon,hotspot_confidence
CMP00003,Lucknow,13.85,Patna,13.85,Mumbai,10.77,26.853676;26.832178;26.832415;26.781386;26.867111,80.971463;80.933071;80.923098;80.969959;80.908103,1.11;7.09;3.10;2.15;0.40
CMP00004,Lucknow,13.85,Patna,13.85,Mumbai,10.77,26.883341;26.848388;26.83309,80.940556;80.910581;80.948973,2.18;5.03;6.64
CMP00011,Delhi,16.36,Kolkata,16.36,Jaipur,14.55,28.598894;28.621176;28.588361,77.232686;77.193111;77.204956,12.87;2.57;0.92
CMP00012,Ahmedabad,16.67,Bengaluru,15.0,Jaipur,13.33,23.027722;22.989295;23.040962;23.019609;22.985537,72.522408;72.576322;72.575684;72.563872;72.553404,2.53;0.13;8.88;1.11;4.02
CMP00018,Bengaluru,16.07,Ahmedabad,12.5,Lucknow,12.5,12.979702;12.954677;12.997375;12.95062,77.584973;77.609892;77.617882;77.58687,8.55;2.14;1.60;3.78
CMP00024,Ahmedabad,16.67,Bengaluru,15.0,Jaipur,13.33,23.018057;23.051993;23.04337,72.56114;72.548945;72.578814,9.84;4.83;2.00
CMP00027,Bengaluru,14.29,Jaipur,14.29,Mumbai,12.5,12.980635;12.970704;12.906106,77.633051;77.633716;77.615148,4.53;0.90;8.86
CMP00039,Mumbai,20.0,Hyderabad,20.0,Bengaluru,13.33,19.040531;19.098588;19.06264,72.903762;72.878175;72.840324,3.00;13.29;3.71
CMP00041,Patna,19.23,Jaipur,15.38,Delhi,13.46,25.616985;25.580856;25.596527;25.576549;25.584297,85.145819;85.150432;85.161816;85.129408;85.101012,11.95;2.20;0.68;2.90;1.50
CMP00051,Bengaluru,14.29,Jaipur,14.29,Mumbai,12.5,12.905221;12.961712;12.982923,77.603238;77.587372;77.590448,6.61;7.65;0.03
CMP00052,Patna,17.39,Mumbai,13.04,Pune,13.04,25.546131;25.595606;25.589291;25.593232;25.622671,85.136937;85.199181;85.145139;85.108383;85.156398,1.07;2.00;3.32;1.24;9.76
CMP00059,Bengaluru,14.29,Jaipur,14.29,Mumbai,12.5,12.949584;12.959264;13.014265;12.971829;12.987827,77.596522;77.617679;77.61644;77.585462;77.564028,0.96;4.61;1.62;3.54;3.56
CMP00061,Patna,17.39,Mumbai,13.04,Pune,13.04,25.574519;25.614438;25.599786;25.553913;25.600597,85.129548;85.106828;85.170279;85.142216;85.157146,0.70;4.29;1.79;10.08;0.53
CMP00065,Bengaluru,14.29,Jaipur,14.29,Mumbai,12.5,12.987041;12.977257;12.975971,77.625027;77.615785;77.564179,2.77;2.87;8.65
CMP00068,Ahmedabad,16.67,Bengaluru,15.0,Jaipur,13.33,23.051465;23.046584;23.043052;23.016365;23.000262,72.550883;72.58172;72.61882;72.552557;72.551005,4.90;4.39;1.06;5.19;1.13
CMP00072,Bengaluru,16.07,Ahmedabad,12.5,Lucknow,12.5,12.971925;12.964984;12.987242;12.944828,77.630938;77.662604;77.573171;77.606662,7.91;1.09;4.88;2.19
CMP00074,Lucknow,13.85,Patna,13.85,Mumbai,10.77,26.843597;26.835388;26.872839,80.964709;80.965626;80.937646,4.67;5.10;4.08
CMP00078,Lucknow,13.85,Patna,13.85,Mumbai,10.77,26.85103;26.824604;26.848155,80.955833;80.950043;80.917626,3.82;1.86;8.17
CMP00080,Delhi,16.36,Kolkata,16.36,Jaipur,14.55,28.589925;28.636528;28.621511,77.24355;77.193902;77.21543,7.40;4.76;4.20
CMP00083,Lucknow,13.85,Patna,13.85,Mumbai,10.77,26.860972;26.87055;26.838818,80.974589;80.962485;80.965174,8.78;2.57;2.50
CMP00085,Delhi,16.36,Kolkata,16.36,Jaipur,14.55,28.612909;28.569188;28.603537,77.195633;77.217933;77.211005,5.38;1.13;9.85
CMP00086,Patna,19.23,Jaipur,15.38,Delhi,13.46,25.576217;25.575841;25.595239;25.647699;25.543471,85.15459;85.143011;85.12131;85.153448;85.142261,0.24;10.77;2.78;0.85;4.59
CMP00091,Delhi,16.36,Kolkata,16.36,Jaipur,14.55,28.594605;28.605544;28.621844;28.637535;28.623332,77.250533;77.201054;77.168694;77.24066;77.250284,10.03;2.00;3.66;0.52;0.15
CMP00094,Lucknow,13.85,Patna,13.85,Mumbai,10.77,26.878373;26.857795;26.823527,80.928508;80.965566;80.944712,7.38;4.24;2.23
CMP00097,Mumbai,20.0,Hyderabad,20.0,Bengaluru,13.33,19.114577;19.07279;19.077463;19.086124;19.070939,72.910782;72.866058;72.9364;72.900443;72.879222,5.23;4.96;1.47;4.40;3.94
CMP00099,Ahmedabad,16.67,Bengaluru,15.0,Jaipur,13.33,23.06215;23.075826;23.018705,72.540455;72.522598;72.586108,3.22;10.31;3.14
CMP00102,Bengaluru,14.29,Jaipur,14.29,Mumbai,12.5,12.959439;12.993725;12.956044;12.9954;12.98065,77.59979;77.582987;77.585713;77.630914;77.609133,7.73;5.61;0.52;0.17;0.26
